Rank,Contractor,TotalCost,NumProjects,AvgDelay,TotalSavings,ReliabilityIndex,RiskFlag
91,"A.L. SALAZAR CONSTRUCTION, INC.",867254019.19,14,305.14,16719493.74,0.00,High Risk
92,DARCY & ANNA BUILDERS & TRADING,861348037.15,16,218.50,8359083.89,0.00,High Risk
93,"AB APONESTO CONSTRUCTION PARTS AND SUPPLY, INC.",857986481.03,13,337.08,38041.13,0.00,High Risk
94,PYRAMID CONSOLIDATED BUILDERS & GEN. MDSE.,850118322.73,16,388.44,3916677.27,0.00,High Risk
95,STEVEN CONSTRUCTION & SUPPLY,844115865.99,15,260.33,105642352.34,0.00,High Risk
96,JAGONBUILD CONSTRUCTION CORP. (FOR. JAGON BUILDERS,840195225.61,21,262.86,8074635.99,0.00,High Risk
97,NFH CONSTRUCTION & SUPPLY,837829642.03,14,226.14,5042770.93,0.00,High Risk
98,AKN CONSTRUCTION CORPORATION,834959450.87,14,310.00,-55066.14,0.02,High Risk
99,V.R. PATRON BUILDERS & DEVELOPERS CORP. (PREVIOUSL,827299631.20,10,290.00,2952388.05,0.00,High Risk
100,IBC INTERNATIONAL BUILDERS CORPORATION,807853369.10,13,416.08,-1254224.38,0.56,High Risk
101,RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,802745353.24,7,249.29,110833.45,0.00,High Risk
102,"MONOLITHIC CONSTRUCTION & CONCRETE PRODUCTS, INC.",795558895.84,7,395.29,3266604.16,0.00,High Risk
103,AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP.,791954603.78,10,259.10,2760345.77,0.00,High Risk
104,ME 3 CONSTRUCTION,780372118.06,8,497.50,11543448.26,0.00,High Risk
105,FRAMECON BUILDERS,774196470.43,13,289.69,21096195.04,0.00,High Risk
106,BRENTMIN ROOFING ENTERPRISE,773558992.97,18,266.83,5956994.80,0.00,High Risk
107,J.G. ORANZA CONSTRUCTION,758900486.98,12,236.83,10477013.02,0.00,High Risk
